To5;Ti5;qi5
26.066;25.431;3.251812823
26.0265;25.408;2.609645209
25.9655;25.384;1.538225006
25.8905;25.357;0.239105471
25.807;25.326;-1.033946767
25.722;25.293;-2.147137669
25.6335;25.259;-3.047553598
25.559;25.219;-3.739973851
25.474;25.178;-4.270913409
25.4015;25.138;-4.671857857
25.322;25.092;-4.976997547
25.2545;25.047;-5.207778037
25.184;25;-5.382773811
25.1135;24.949;-5.519508954
25.0515;24.902;-5.625257451
24.989;24.852;-5.695835228
24.9175;24.806;-5.753720735
24.8545;24.756;-5.787149549
24.795;24.704;-5.808385031
24.7355;24.656;-5.809085294
24.674;24.606;-5.80173253
24.615;24.559;-5.783998365
24.5525;24.504;-5.755051235
24.4955;24.457;-5.719171499
24.4415;24.409;-5.679011405
24.383;24.358;-5.632899073
24.328;24.308;-5.581315935
24.2705;24.258;-5.524550849
24.2165;24.207;-5.469116264
24.1625;24.165;-5.408359678
24.1125;24.113;-5.337921953
24.057;24.062;-5.255159596
24.0055;24.018;-5.154164136
23.9545;23.971;-5.050516429
23.9085;23.925;-4.947700285
23.8605;23.877;-4.855755727
23.807;23.828;-4.757640099
23.7605;23.78;-4.66667591
23.713;23.733;-4.572761861
23.666;23.686;-4.482357882
23.619;23.636;-4.396995798
23.5725;23.598;-4.31114353
23.527;23.551;-4.227952261
23.4825;23.506;-4.145680089
23.4395;23.461;-4.069010022
23.3935;23.413;-3.993880534
23.358;23.369;-3.917490572
23.313;23.325;-3.841240663
23.2685;23.281;-3.762679885
23.226;23.235;-3.692732344
23.18;23.197;-3.620972873
23.1435;23.153;-3.549064596
23.0905;23.112;-3.484517835
23.0545;23.071;-3.414649074
23.022;23.026;-3.348771814
22.9705;22.982;-3.279594563
22.932;22.938;-3.215756819
22.8895;22.899;-3.143218305
22.853;22.854;-3.076500728
22.809;22.819;-3.008172547
22.7735;22.779;-2.938925269
22.735;22.743;-2.874798667
22.7005;22.698;-2.811661186
22.661;22.663;-2.749495321
22.623;22.627;-2.686559166
22.5895;22.591;-2.624813458
22.551;22.558;-2.566227688
22.5175;22.504;-2.506171365
22.4815;22.473;-2.451008132
22.4475;22.444;-2.393052599
22.416;22.402;-2.33957875
22.381;22.36;-2.284284217
22.3475;22.324;-2.233340069
22.337;22.286;-2.179025905
22.287;22.251;-2.131434267
22.2445;22.216;-2.088403093
22.22;22.175;-2.065767085
22.183;22.141;-2.050562621
22.1735;22.109;-2.020074912
22.12;22.077;-1.956018335
22.1075;22.049;-1.859443287
22.069;22.019;-1.730629871
22.0315;21.98;-1.583040648
22.021;21.951;-1.433341883
22.0065;21.916;-1.274189564
21.9775;21.878;-1.131012
21.967;21.857;-0.991265725
21.934;21.828;-0.859371151
21.9215;21.797;-0.745061937
21.8755;21.767;-0.631951924
21.857;21.749;-0.525984595
21.832;21.718;-0.435580616
21.8105;21.687;-0.350008453
21.796;21.66;-0.265416658
21.774;21.633;-0.191127486
21.7475;21.616;-0.119297988
21.7325;21.594;-0.054261043
21.707;21.57;0.007484664
21.6785;21.544;0.063619513
21.67;21.521;0.11884402
21.6595;21.498;0.170917342
21.626;21.48;0.216049305
21.6465;21.457;0.262721847
21.608;21.426;0.306313232
21.577;21.423;0.345422931
21.562;21.398;0.386423342
21.554;21.392;0.423633577
21.5335;21.366;0.459443287
21.5045;21.352;0.507385056
21.504;21.326;0.563379852
21.482;21.318;0.640750183
21.4765;21.287;0.724641714
21.4495;21.26;0.814065325
21.4525;21.252;0.908180699
21.4265;21.235;0.995573546
21.415;21.217;1.080095314
21.4065;21.205;1.15508475
21.3885;21.189;1.230004159
21.4015;21.171;1.298122262
21.389;21.16;1.359237732
21.359;21.152;1.418033581
21.369;21.121;1.474028377
21.3455;21.116;1.530863489
21.353;21.106;1.574734979
21.3245;21.093;1.621136169
21.31;21.077;1.657716168
21.329;21.064;1.696125605
21.3055;21.051;1.724013587
21.292;21.039;2.32118929
21.3485;21.025;5.190579025
21.465;21.009;9.427994195
21.5785;21.008;11.93512902
21.692;20.996;12.71241242
21.737;20.991;12.86477219
21.755;20.986;12.68186344
21.8115;20.986;12.35863945
21.7875;20.986;11.98299201
21.854;20.993;11.59628041
21.7875;20.993;11.22813454
21.7725;20.988;10.88031381
21.7835;20.998;10.5713927
21.8085;21;10.29077973
21.7805;21;10.04437462
21.787;21.001;9.829708932
21.7815;20.998;9.635298362
21.7405;21.002;9.465353236
21.75;20.998;9.315584444
21.733;20.993;9.182149292
21.7395;20.984;9.068540341
21.7405;20.99;8.968043818
21.717;20.98;8.877359734
21.718;20.979;8.800199482
21.733;20.973;8.734322222
21.7005;20.964;8.672366435
21.729;20.961;8.620223087
21.7325;20.957;8.578732492
21.7075;20.956;8.539281414
21.683;20.939;8.509774074
21.686;20.933;8.708106118
21.6835;20.927;9.108070198
21.6775;20.921;9.180608713
21.692;20.913;9.189502055
21.699;20.909;9.113812357
21.6665;20.903;8.9892793
21.65;20.898;8.837339692
21.663;20.899;8.66865504
21.6615;20.875;8.498981267
21.6345;20.874;8.347111685
21.6285;20.875;8.195592236
21.5985;20.866;8.066148583
21.5935;20.85;7.945186869
21.574;20.845;7.842502024
21.567;20.831;7.75237815
21.561;20.827;7.663304671
21.543;20.817;7.595317867
21.545;20.799;7.528250159
