To1;Ti1;qi1
19.098;17.382;34.3179568
19.034;17.371;34.37458184
19.013;17.3825;34.3726211
18.9965;17.356;34.33288116
18.9465;17.328;34.28010758
18.922;17.332;34.22138175
18.92;17.305;34.15410397
18.8595;17.2105;34.10056009
18.8545;17.2735;34.03734383
18.8145;17.2565;33.97608831
18.8015;17.2305;33.91764259
18.782;17.213;33.86199793
18.7345;17.1955;33.80866413
18.7325;17.1765;33.75456005
18.7135;17.156;33.70395728
18.6765;17.1325;33.65364336
18.6725;17.109;33.60178012
18.625;17.09;33.55243783
18.612;17.066;33.50814618
18.5945;17.0485;33.46063332
18.5515;17.0295;33.4137507
18.555;17.0085;33.35698561
18.506;16.988;33.08793574
18.5015;16.9805;32.50758386
18.498;16.9765;31.75426697
18.4865;16.9725;30.9602998
18.434;16.973;30.19808081
18.4215;16.9735;29.50166906
18.3745;16.978;28.87001415
18.353;16.976;28.30956725
18.325;16.973;27.80931672
18.2955;16.971;27.3689212
18.279;16.9685;26.97470803
18.273;16.966;26.6308788
18.2545;16.961;26.3186577
18.216;16.955;26.04954655
18.242;16.951;25.81154459
18.1665;16.942;25.59344762
18.144;16.931;25.40415772
18.143;16.9235;25.24037492
18.1285;16.917;25.09039604
18.0605;16.9055;24.95675081
18.044;16.894;24.83536019
18.033;16.8875;24.72842124
17.956;16.871;24.63625785
17.9745;16.855;24.54606395
17.925;16.8405;24.46666286
17.9415;16.828;24.42622266
17.8965;16.816;24.40330655
17.901;16.7915;24.39300392
17.848;16.7795;24.393214
17.858;16.7635;24.38788325
17.815;16.7435;24.38606256
17.851;16.7265;24.38361164
17.85;16.7115;24.37849972
17.8045;16.6885;24.37526976
17.723;16.6745;24.36840718
17.681;16.659;24.3630064
17.8535;16.643;24.35480457
17.6675;16.612;24.34920246
17.7455;16.598;24.33679905
17.783;16.579;24.29705911
17.647;16.5815;24.23707282
17.623;16.5385;24.17259608
17.578;16.5245;24.09795678
17.601;16.512;24.02892833
17.5535;16.4905;23.95828053
17.4635;16.4865;23.89569451
17.486;16.452;23.83696868
17.5015;16.4345;23.7763434
17.4145;16.4105;23.72637962
17.3975;16.385;23.67647711
17.4225;16.387;23.64234803
17.3665;16.379;23.60954946
17.373;16.3545;23.57976201
17.3815;16.3315;23.55761619
17.309;16.312;23.53364968
17.2875;16.302;23.5070922
17.2585;16.277;23.4824867
17.282;16.2565;23.46315068
17.295;16.2105;23.43399347
17.2395;16.1815;23.41240786
17.2185;16.195;23.39103232
17.2545;16.184;23.35823375
17.2235;16.1805;23.33538766
17.158;16.135;23.30967049
17.1445;16.1155;23.27743213
17.1265;16.0915;23.24890515
17.086;16.0845;23.21533629
17.21;16.0665;23.18043692
17.148;16.087;23.15598023
17.157;16.0325;23.11792092
