To6;Ti6;qi6
25.431;26.066;-12.37729295
25.408;26.0265;-12.52013939
25.384;25.9655;-12.66682767
25.357;25.8905;-12.79417461
25.326;25.807;-12.9026994
25.293;25.722;-12.96232809
25.259;25.6335;-12.97994201
25.219;25.559;-12.95696651
25.178;25.474;-12.88834207
25.138;25.4015;-12.78714226
25.092;25.322;-12.65980475
25.047;25.2545;-12.50865164
25;25.184;-12.33709055
24.949;25.1135;-12.16720023
24.902;25.0515;-11.98090423
24.852;24.989;-11.79173865
24.806;24.9175;-11.60619781
24.756;24.8545;-11.41990181
24.704;24.795;-11.23572023
24.656;24.7355;-11.05841998
24.606;24.674;-10.88006252
24.559;24.615;-10.71296626
24.504;24.5525;-10.55153364
24.457;24.4955;-10.39841714
24.409;24.4415;-10.25089819
24.358;24.383;-10.10321878
24.308;24.328;-9.966054858
24.258;24.2705;-9.83530029
24.207;24.2165;-9.713173332
24.165;24.1625;-9.595426257
24.113;24.1125;-9.483880867
24.062;24.057;-9.382227968
24.018;24.0055;-9.280650585
23.971;23.9545;-9.182858401
23.925;23.9085;-9.094732163
23.877;23.8605;-9.011976943
23.828;23.807;-8.932553831
23.78;23.7605;-8.864911091
23.733;23.713;-8.796513198
23.686;23.666;-8.735374205
23.636;23.619;-8.674310726
23.598;23.5725;-8.617702644
23.551;23.527;-8.563586564
23.506;23.4825;-8.511820894
23.461;23.4395;-8.46957014
23.413;23.3935;-8.417426894
23.369;23.358;-8.375931292
23.325;23.313;-8.331726582
23.281;23.2685;-8.292496435
23.235;23.226;-8.250632696
23.197;23.18;-8.218132842
23.153;23.1435;-8.177250801
23.112;23.0905;-8.140965747
23.071;23.0545;-8.11149594
23.026;23.022;-8.075899963
22.982;22.9705;-8.03992641
22.938;22.932;-8.016120243
22.899;22.8895;-7.98233663
22.854;22.853;-7.958077372
22.819;22.809;-7.926861276
22.779;22.7735;-7.900412078
22.743;22.735;-7.870857316
22.698;22.7005;-7.850458773
22.663;22.661;-7.825821939
22.627;22.623;-7.8031485
22.591;22.5895;-7.776236771
22.558;22.551;-7.757650592
22.504;22.5175;-7.73754467
22.473;22.4815;-7.712077169
22.444;22.4475;-7.698550509
22.402;22.416;-7.681465195
22.36;22.381;-7.66061356
22.324;22.3475;-7.644585459
22.286;22.337;-7.630832253
