To2;Ti2;qi2
17.382;19.098;-1.545468179
17.371;19.034;-1.630337825
17.3825;19.013;-1.74037291
17.356;18.9965;-1.868248462
17.328;18.9465;-1.997558803
17.332;18.922;-2.123244414
17.305;18.92;-2.250138268
17.2105;18.8595;-2.362967416
17.2735;18.8545;-2.46484686
17.2565;18.8145;-2.564526924
17.2305;18.8015;-2.654692073
17.213;18.782;-2.739486203
17.1955;18.7345;-2.814463358
17.1765;18.7325;-2.882936765
17.156;18.7135;-2.947020852
17.1325;18.6765;-3.008537422
17.109;18.6725;-3.063333139
17.09;18.625;-3.110492381
17.066;18.612;-3.156896471
17.0485;18.5945;-3.199968454
17.0295;18.5515;-3.248345379
17.0085;18.555;-3.285904751
16.988;18.506;-3.321274183
16.9805;18.5015;-3.351046051
16.9765;18.498;-3.365110757
16.9725;18.4865;-3.357021191
16.973;18.434;-3.320896607
16.9735;18.4215;-3.24486224
16.978;18.3745;-3.143520842
16.976;18.353;-3.009292574
16.973;18.325;-2.865624906
16.971;18.2955;-2.702455437
16.9685;18.279;-2.529846569
16.966;18.273;-2.359040626
16.961;18.2545;-2.18166486
16.955;18.216;-2.003458428
16.951;18.242;-1.826384723
16.942;18.1665;-1.661629436
16.931;18.144;-1.497251724
16.9235;18.143;-1.346249642
16.917;18.1285;-1.197966108
16.9055;18.0605;-1.058753836
16.894;18.044;-0.924232947
16.8875;18.033;-0.803389748
16.871;17.956;-0.68458546
16.855;17.9745;-0.58625523
16.8405;17.925;-0.483554558
16.828;17.9415;-0.388329891
16.816;17.8965;-0.303903897
16.7915;17.901;-0.222583466
16.7795;17.848;-0.159556592
16.7635;17.858;-0.094717354
16.7435;17.815;-0.041885032
16.7265;17.851;0.011013366
16.7115;17.85;0.046307282
16.6885;17.8045;0.079486773
16.6745;17.723;0.105860457
16.659;17.681;0.132847701
16.643;17.8535;0.15552114
16.612;17.6675;0.167613012
16.598;17.7455;0.181517248
16.579;17.783;0.192929482
16.5815;17.647;0.19972585
16.5385;17.623;0.202604867
16.5245;17.578;0.210684994
16.512;17.601;0.213337465
16.4905;17.5535;0.222248259
16.4865;17.4635;0.227090671
16.452;17.486;0.233433948
16.4345;17.5015;0.241674544
16.4105;17.4145;0.244619637
16.385;17.3975;0.252633687
16.387;17.4225;0.258372843
16.379;17.3665;0.261025314
16.3545;17.373;0.265103135
16.3315;17.3815;0.270011623
16.312;17.309;0.26329077
16.302;17.2875;0.266764469
16.277;17.2585;0.258986404
16.2565;17.282;0.258750419
16.2105;17.295;0.252709203
16.1815;17.2395;0.246809578
16.195;17.2185;0.239786664
16.184;17.2545;0.229809218
16.1805;17.2235;0.218396984
16.135;17.158;0.210760509
16.1155;17.1445;0.199197244
16.0915;17.1265;0.186501251
16.0845;17.086;0.175542108
16.0665;17.21;0.163978843
16.087;17.148;0.149168424
16.0325;17.157;0.135641764
16.049;17.0085;0.122341649
15.994;16.9685;0.110929415
15.9845;16.9505;0.0976293
15.9565;17.037;0.079788834
15.936;16.95;0.065658052
15.9235;16.954;0.056662304
15.9;16.9865;0.046835889
15.8715;16.8585;0.026890436
15.857;16.808;0.017366082
15.8295;16.8515;-0.001909173
15.8175;16.832;-0.012868316
15.793;16.784;-0.030321767
15.7835;16.754;-0.044452549
15.7385;16.8375;-0.058130239
15.7405;16.7205;-0.073478704
15.7265;16.7605;-0.08942185
15.689;16.7495;-0.105667058
15.704;16.7985;-0.122374796
15.687;16.735;-0.129935755
15.6465;16.665;-0.147238175
15.629;16.6045;-0.162124109
15.6305;16.6385;-0.179209423
15.599;16.6015;-0.193642266
15.5905;16.546;-0.205809652
15.565;16.5105;-0.224858362
15.521;16.48;-0.240423932
15.529;16.5055;-0.252062712
15.5045;16.546;-0.272470695
15.4785;16.472;-0.283052263
15.448;16.427;-0.302997715
15.442;16.35;-0.317506073
15.399;16.399;-0.333307628
15.382;16.4235;-0.348571138
15.365;16.4135;-0.363079496
15.3475;16.3935;-0.377219717
15.3355;16.3635;-0.392936318
15.312;16.3185;-0.410691829
15.3085;16.321;-0.420065154
15.2715;16.3915;-0.43820768
15.2565;16.379;-0.449242339
15.236;16.296;-0.462693484
15.217;16.2755;-0.48242183
15.2045;16.2365;-0.498213946
15.1765;16.205;-0.511665091
15.1545;16.1365;-0.524134539
15.1355;16.0895;-0.54000217
15.1215;16.072;-0.554444452
15.0885;16.0595;-0.569254871
15.0925;16.096;-0.589511823
15.064;16.245;-0.593438613
15.051;16.069;-0.616489628
15.0225;15.9905;-0.632734836
15.0115;15.988;-0.64225919
14.9985;16.023;-0.659420019
14.977;16.004;-0.673550801
14.963;15.943;-0.688285705
14.9225;15.9465;-0.702869578
14.906;15.9075;-0.71715139
14.893;15.8765;-0.732197793
14.865;15.878;-0.745724454
14.8505;15.852;-0.766358982
14.8335;15.8605;-0.779206005
14.811;15.7925;-0.791373392
14.8045;15.8045;-0.809733025
14.7765;15.7605;-0.818879804
14.7585;15.717;-0.839136756
14.758;15.7185;-0.853040992
14.723;15.746;-0.861810195
14.705;15.715;-0.87730025
14.676;15.693;-0.890902426
14.673;15.6345;-0.903296358
14.6465;15.5705;-0.921363369
14.624;15.545;-0.93519209
14.6075;15.616;-0.946755355
14.5665;15.554;-0.96005547
14.571;15.6105;-0.977593875
14.548;15.547;-0.98710879
14.541;15.479;-1.006081984
14.505;15.5;-1.019457614
14.489;15.401;-1.030869849
14.4705;15.4815;-1.049692012
14.449;15.46;-1.061934914
14.4235;15.3695;-1.076367757
14.4175;15.3975;-1.090271993
14.3775;15.315;-1.106602155
14.3805;15.318;-1.114002645
14.343;15.278;-1.132296202
14.346;15.25;-1.148163833
14.3245;15.2795;-1.159122977
14.2995;15.254;-1.175670245
14.2835;15.2155;-1.185572175
14.266;15.249;-1.200996155
14.2165;15.308;-1.21633518
14.227;15.2135;-1.229333234
14.2155;15.17;-1.241047529
14.18;15.2055;-1.257443767
14.1485;15.2805;-1.276039385
14.137;15.129;-1.286318892
14.1165;15.181;-1.301053795
14.109;15.0435;-1.313447727
14.088;15.1205;-1.327351963
14.062;15.058;-1.345192429
14.0415;14.9945;-1.359247696
14.0205;14.9205;-1.370886476
14.0135;14.918;-1.386452047
13.9805;14.9225;-1.400063662
13.9645;14.8725;-1.413288261
13.928;14.863;-1.426588376
13.9295;14.8335;-1.438076125
13.9245;14.8245;-1.453339635
13.903;14.81;-1.467772478
